ticker,name,composite_score,grade,sd_score,inst_score,tech_score,fund_score,analyst_score,rs_score,current_price,target_upside,rank
COF,Capital One Financial Corporation,64.0,📈 B급 (매수 고려),60,70,60,55,75,73,247.93,8.5,113
MNST,Monster Beverage Corporation,63.9,📈 B급 (매수 고려),65,65,60,60,70,66,76.16,-0.2,114
PKG,Packaging Corporation of America,63.9,📈 B급 (매수 고려),55,65,73,70,55,65,211.12,6.8,115
AEP,"American Electric Power Company, Inc.",63.9,📈 B급 (매수 고려),60,65,68,75,60,50,115.81,11.4,116
ALLE,Allegion plc,63.9,📈 B급 (매수 고려),65,65,58,80,60,50,160.91,13.2,117
IFF,International Flavors & Fragrances Inc.,63.7,📈 B급 (매수 고려),80,65,68,30,60,66,68.03,19.8,118
ABNB,"Airbnb, Inc.",63.5,📈 B급 (매수 고려),60,65,60,65,55,83,133.01,5.6,119
BAC,Bank of America Corporation,63.4,📈 B급 (매수 고려),55,65,60,70,75,66,55.95,6.6,120
AES,The AES Corporation,63.4,📈 B급 (매수 고려),65,65,58,70,55,65,14.82,3.2,121
JKHY,"Jack Henry & Associates, Inc.",63.3,📈 B급 (매수 고려),55,65,60,65,75,73,178.35,5.5,122
FRT,Federal Realty Investment Trust,63.3,📈 B급 (매수 고려),50,70,70,60,80,58,99.03,12.9,123
CI,The Cigna Group,63.2,📈 B급 (매수 고려),50,70,58,75,80,58,279.12,16.4,124
APTV,Aptiv PLC,63.2,📈 B급 (매수 고려),70,65,68,45,65,58,78.44,27.2,125
NOC,Northrop Grumman Corporation,63.1,📈 B급 (매수 고려),55,70,58,75,60,65,585.66,13.2,126
PCG,PG&E Corporation,63.1,📈 B급 (매수 고려),50,70,53,70,90,65,16.27,30.3,127
STX,Seagate Technology Holdings plc,63.0,📈 B급 (매수 고려),50,65,60,65,75,83,287.54,3.3,128
AJG,Arthur J. Gallagher & Co.,62.9,📈 B급 (매수 고려),70,70,58,50,80,43,256.0,17.7,129
HLT,Hilton Worldwide Holdings Inc.,62.9,📈 B급 (매수 고려),70,65,60,45,70,66,292.98,-2.2,130
URI,"United Rentals, Inc.",62.9,📈 B급 (매수 고려),55,70,68,75,60,43,845.06,18.5,131
DD,"DuPont de Nemours, Inc.",62.8,📈 B급 (매수 고려),55,60,70,65,60,73,40.87,15.8,132
MLM,"Martin Marietta Materials, Inc.",62.5,📈 B급 (매수 고려),50,65,70,65,75,58,634.44,6.1,133
HSY,The Hershey Company,62.5,📈 B급 (매수 고려),70,65,55,65,55,58,182.41,5.5,134
TER,"Teradyne, Inc.",62.5,📈 B급 (매수 고려),60,65,70,50,50,80,207.56,-2.7,135
GLW,Corning Incorporated,62.5,📈 B급 (매수 고려),55,65,60,60,75,73,90.67,4.3,136
ACGL,Arch Capital Group Ltd.,62.5,📈 B급 (매수 고려),50,70,55,75,80,58,93.86,14.3,137
EQIX,"Equinix, Inc.",62.4,📈 B급 (매수 고려),55,70,68,45,85,58,764.11,25.1,138
PM,Philip Morris International Inc.,62.4,📈 B급 (매수 고려),50,70,68,65,60,65,160.3,14.1,139
ADBE,Adobe Inc.,62.3,📈 B급 (매수 고려),60,70,45,80,65,58,333.3,29.3,140
SRE,Sempra,62.1,📈 B급 (매수 고려),50,70,68,60,80,50,89.71,11.5,141
CAT,Caterpillar Inc.,62.0,📈 B급 (매수 고려),50,65,60,65,75,73,598.41,0.3,142
CVS,CVS Health Corporation,61.9,📈 B급 (매수 고려),60,70,68,45,60,65,80.13,18.1,143
KLAC,KLA Corporation,61.9,📈 B급 (매수 고려),55,65,70,60,55,66,1274.47,3.6,144
WST,"West Pharmaceutical Services, Inc.",61.9,📈 B급 (매수 고려),65,65,68,50,65,50,276.4,25.1,145
UDR,"UDR, Inc.",61.9,📈 B급 (매수 고려),65,65,73,45,55,58,36.69,9.6,146
NI,NiSource Inc.,61.9,📈 B급 (매수 고려),50,70,68,70,55,58,42.16,10.0,147
MAR,"Marriott International, Inc.",61.8,📈 B급 (매수 고려),65,60,55,55,70,73,313.41,-6.0,148
NVDA,NVIDIA Corporation,61.7,📈 B급 (매수 고려),50,65,68,65,70,58,188.85,34.0,149
