ticker,name,sector,industry,market
DXCM,DXCM,N/A,N/A,S&P500
EA,EA,N/A,N/A,S&P500
EBAY,EBAY,N/A,N/A,S&P500
ECL,ECL,N/A,N/A,S&P500
ED,ED,N/A,N/A,S&P500
EFX,EFX,N/A,N/A,S&P500
EG,EG,N/A,N/A,S&P500
EIX,EIX,N/A,N/A,S&P500
EL,EL,N/A,N/A,S&P500
ELV,ELV,N/A,N/A,S&P500
EMN,EMN,N/A,N/A,S&P500
EMR,EMR,N/A,N/A,S&P500
ENPH,ENPH,N/A,N/A,S&P500
EOG,EOG,N/A,N/A,S&P500
EPAM,EPAM,N/A,N/A,S&P500
EQIX,EQIX,N/A,N/A,S&P500
EQR,EQR,N/A,N/A,S&P500
EQT,EQT,N/A,N/A,S&P500
ES,ES,N/A,N/A,S&P500
ESS,ESS,N/A,N/A,S&P500
ETN,ETN,N/A,N/A,S&P500
ETR,ETR,N/A,N/A,S&P500
ETSY,ETSY,N/A,N/A,S&P500
EVRG,EVRG,N/A,N/A,S&P500
EW,EW,N/A,N/A,S&P500
EXC,EXC,N/A,N/A,S&P500
EXPD,EXPD,N/A,N/A,S&P500
EXPE,EXPE,N/A,N/A,S&P500
EXR,EXR,N/A,N/A,S&P500
F,F,N/A,N/A,S&P500
FANG,FANG,N/A,N/A,S&P500
FAST,FAST,N/A,N/A,S&P500
FCX,FCX,N/A,N/A,S&P500
FDS,FDS,N/A,N/A,S&P500
FDX,FDX,N/A,N/A,S&P500
FE,FE,N/A,N/A,S&P500
FFIV,FFIV,N/A,N/A,S&P500
FI,FI,N/A,N/A,S&P500
FICO,FICO,N/A,N/A,S&P500
FIS,FIS,N/A,N/A,S&P500
FITB,FITB,N/A,N/A,S&P500
FLT,FLT,N/A,N/A,S&P500
FMC,FMC,N/A,N/A,S&P500
FOX,FOX,N/A,N/A,S&P500
FOXA,FOXA,N/A,N/A,S&P500
FRT,FRT,N/A,N/A,S&P500
FSLR,FSLR,N/A,N/A,S&P500
FTNT,FTNT,N/A,N/A,S&P500
FTV,FTV,N/A,N/A,S&P500
GD,GD,N/A,N/A,S&P500
GDDY,GDDY,N/A,N/A,S&P500
GE,GE,N/A,N/A,S&P500
GEHC,GEHC,N/A,N/A,S&P500
GEN,GEN,N/A,N/A,S&P500
GEV,GEV,N/A,N/A,S&P500
GILD,GILD,N/A,N/A,S&P500
GIS,GIS,N/A,N/A,S&P500
GL,GL,N/A,N/A,S&P500
GLW,GLW,N/A,N/A,S&P500
GM,GM,N/A,N/A,S&P500
GNRC,GNRC,N/A,N/A,S&P500
GOOG,GOOG,N/A,N/A,S&P500
GOOGL,GOOGL,N/A,N/A,S&P500
GPC,GPC,N/A,N/A,S&P500
GPN,GPN,N/A,N/A,S&P500
GRMN,GRMN,N/A,N/A,S&P500
GS,GS,N/A,N/A,S&P500
GWW,GWW,N/A,N/A,S&P500
HAL,HAL,N/A,N/A,S&P500
HAS,HAS,N/A,N/A,S&P500
HBAN,HBAN,N/A,N/A,S&P500
HCA,HCA,N/A,N/A,S&P500
HD,HD,N/A,N/A,S&P500
HES,HES,N/A,N/A,S&P500
HIG,HIG,N/A,N/A,S&P500
HII,HII,N/A,N/A,S&P500
HLT,HLT,N/A,N/A,S&P500
HOLX,HOLX,N/A,N/A,S&P500
HON,HON,N/A,N/A,S&P500
HPE,HPE,N/A,N/A,S&P500
HPQ,HPQ,N/A,N/A,S&P500
HRL,HRL,N/A,N/A,S&P500
HSIC,HSIC,N/A,N/A,S&P500
HST,HST,N/A,N/A,S&P500
HSY,HSY,N/A,N/A,S&P500
HUBB,HUBB,N/A,N/A,S&P500
HUM,HUM,N/A,N/A,S&P500
HWM,HWM,N/A,N/A,S&P500
IBM,IBM,N/A,N/A,S&P500
ICE,ICE,N/A,N/A,S&P500
IDXX,IDXX,N/A,N/A,S&P500
IEX,IEX,N/A,N/A,S&P500
IFF,IFF,N/A,N/A,S&P500
ILMN,ILMN,N/A,N/A,S&P500
INCY,INCY,N/A,N/A,S&P500
