ticker,institutional_pct,insider_pct,short_pct,float_shares_m,num_inst_holders,insider_buys,insider_sells,insider_sentiment,institutional_score,institutional_stage
C,80.67,0.26,1.63,1784.11,10,0,0,Neutral,70,Strong Institutional Support
CAG,89.44,0.64,7.73,474.96,10,0,0,Neutral,65,Institutional Support
CAH,90.72,0.26,2.38,237.1,10,0,0,Neutral,70,Strong Institutional Support
CARR,87.12,6.09,1.61,790.04,10,0,0,Neutral,70,Strong Institutional Support
CAT,74.02,0.21,1.52,466.6,10,0,0,Neutral,65,Institutional Support
CB,82.55,8.54,0.89,360.34,10,0,0,Neutral,70,Strong Institutional Support
CBOE,89.65,0.22,2.98,104.25,10,0,0,Neutral,70,Strong Institutional Support
CBRE,97.98,0.52,1.2,290.87,10,0,0,Neutral,70,Strong Institutional Support
CCI,98.69,0.12,3.54,434.59,10,0,0,Neutral,65,Institutional Support
CCL,75.99,8.31,3.97,1214.15,10,0,0,Neutral,60,Institutional Support
CDNS,92.01,0.29,1.67,271.11,10,0,0,Neutral,70,Strong Institutional Support
CDW,99.12,0.38,4.47,129.72,10,0,0,Neutral,65,Institutional Support
CE,103.69,0.44,9.85,108.92,10,0,0,Neutral,65,Institutional Support
CEG,85.07,0.25,2.3,311.52,10,0,0,Neutral,70,Strong Institutional Support
CF,105.75,0.74,9.73,154.44,10,0,0,Neutral,65,Institutional Support
CFG,98.17,0.73,4.4,425.38,10,0,0,Neutral,65,Institutional Support
CHD,90.86,0.19,4.53,239.48,10,0,0,Neutral,65,Institutional Support
CHRW,101.4,0.81,6.47,117.69,10,0,0,Neutral,65,Institutional Support
CHTR,86.57,37.36,24.83,83.99,10,0,0,Neutral,55,Institutional Support
CI,90.84,1.59,2.22,265.86,10,0,0,Neutral,70,Strong Institutional Support
CINF,70.55,1.6,1.79,153.26,10,0,0,Neutral,65,Institutional Support
CL,86.75,0.16,1.87,755.61,10,0,0,Neutral,70,Strong Institutional Support
CLX,88.96,0.6,6.64,121.57,10,0,0,Neutral,65,Institutional Support
CMCSA,88.89,0.73,1.48,3606.98,10,0,0,Neutral,70,Strong Institutional Support
CME,91.84,0.44,1.71,359.03,10,0,0,Neutral,70,Strong Institutional Support
CMG,90.34,0.59,2.49,1313.06,10,0,0,Neutral,70,Strong Institutional Support
CMI,87.2,0.32,1.3,137.43,10,0,0,Neutral,70,Strong Institutional Support
CMS,99.2,0.51,4.48,302.35,10,0,0,Neutral,65,Institutional Support
CNC,96.69,0.45,2.93,489.11,10,0,0,Neutral,70,Strong Institutional Support
CNP,101.29,0.44,7.47,649.39,10,0,0,Neutral,65,Institutional Support
COF,87.64,1.81,1.5,623.05,10,0,0,Neutral,70,Strong Institutional Support
COO,106.63,0.62,3.9,194.57,10,0,0,Neutral,65,Institutional Support
COP,84.15,0.07,1.37,1233.12,10,0,0,Neutral,70,Strong Institutional Support
COR,96.73,4.22,4.32,185.65,10,0,0,Neutral,65,Institutional Support
COST,71.89,0.16,1.52,442.63,10,0,0,Neutral,65,Institutional Support
CPAY,96.17,3.56,3.2,67.4,10,0,0,Neutral,65,Institutional Support
CPB,66.45,35.04,18.77,192.19,10,0,0,Neutral,50,Neutral
CPRT,86.18,8.61,3.78,887.73,10,0,0,Neutral,65,Institutional Support
CPT,98.68,1.34,3.8,104.54,10,0,0,Neutral,65,Institutional Support
CRL,107.13,1.0,5.63,48.7,10,0,0,Neutral,65,Institutional Support
CRM,84.53,2.63,1.76,911.65,10,0,0,Neutral,70,Strong Institutional Support
CSCO,81.25,0.06,1.39,3944.14,10,0,0,Neutral,70,Strong Institutional Support
CSGP,103.87,1.18,4.9,418.26,10,0,0,Neutral,65,Institutional Support
CSX,79.93,0.25,1.71,1857.75,10,0,0,Neutral,65,Institutional Support
CTAS,67.01,14.87,2.39,341.84,10,0,0,Neutral,65,Institutional Support
CTLT,0.0,0.0,0.0,0.0,0,0,0,Unknown,45,Neutral
CTRA,95.11,1.47,5.12,751.22,10,0,0,Neutral,65,Institutional Support
CTSH,104.24,0.1,7.47,481.26,10,0,0,Neutral,65,Institutional Support
CTVA,87.24,0.12,2.16,674.1,10,0,0,Neutral,70,Strong Institutional Support
CVS,89.63,1.06,1.83,1266.94,10,0,0,Neutral,70,Strong Institutional Support
CVX,68.08,6.13,0.89,1880.31,10,0,0,Neutral,65,Institutional Support
CZR,105.65,2.15,16.17,193.47,10,0,0,Neutral,55,Institutional Support
D,84.5,0.12,5.45,852.16,10,0,0,Neutral,65,Institutional Support
DAL,82.88,0.33,3.84,645.23,10,0,0,Neutral,65,Institutional Support
DAY,85.62,1.21,12.62,139.8,10,0,0,Neutral,55,Institutional Support
DD,76.58,0.29,4.12,417.27,10,0,0,Neutral,60,Institutional Support
DE,82.9,0.18,2.08,269.91,10,0,0,Neutral,70,Strong Institutional Support
DECK,99.23,0.58,3.76,144.47,10,0,0,Neutral,65,Institutional Support
DFS,0.0,0.0,0.0,0.0,0,0,0,Unknown,45,Neutral
DG,97.76,0.34,5.62,218.79,10,0,0,Neutral,65,Institutional Support
DGX,99.33,0.39,4.34,110.67,10,0,0,Neutral,65,Institutional Support
DHI,89.88,11.27,6.35,259.56,10,0,0,Neutral,65,Institutional Support
DHR,83.3,11.06,1.38,628.99,10,0,0,Neutral,70,Strong Institutional Support
DIS,75.66,0.07,1.22,1782.65,10,0,0,Neutral,65,Institutional Support
DLR,101.35,0.01,4.09,321.27,10,0,0,Neutral,65,Institutional Support
DLTR,116.07,0.15,9.78,175.07,10,0,0,Neutral,65,Institutional Support
DOC,97.2,0.29,4.21,692.14,10,0,0,Neutral,65,Institutional Support
DOV,88.36,1.39,4.07,136.46,10,0,0,Neutral,65,Institutional Support
DOW,68.24,0.16,4.79,708.99,10,0,0,Neutral,60,Institutional Support
DPZ,92.28,9.25,8.93,32.83,10,0,0,Neutral,65,Institutional Support
DRI,94.98,0.33,4.25,114.56,10,0,0,Neutral,65,Institutional Support
DTE,80.86,0.36,1.96,206.63,10,0,0,Neutral,70,Strong Institutional Support
DUK,70.32,0.13,1.79,775.79,10,0,0,Neutral,65,Institutional Support
DVA,51.51,50.05,21.07,37.37,10,0,0,Neutral,40,Institutional Concern
DVN,79.38,0.79,3.37,622.01,10,0,0,Neutral,60,Institutional Support
DXCM,99.7,0.42,4.32,387.42,10,0,0,Neutral,65,Institutional Support
EA,100.73,0.2,2.97,223.96,10,0,0,Neutral,70,Strong Institutional Support
EBAY,96.56,0.25,3.36,450.28,10,0,0,Neutral,65,Institutional Support
ECL,92.72,0.14,1.36,285.44,10,0,0,Neutral,70,Strong Institutional Support
ED,72.88,0.21,3.02,360.52,10,0,0,Neutral,60,Institutional Support
EFX,101.24,0.51,3.66,121.85,10,0,0,Neutral,65,Institutional Support
EG,99.46,1.42,2.45,31.6,10,0,0,Neutral,70,Strong Institutional Support
EIX,90.06,0.23,2.78,383.93,10,0,0,Neutral,70,Strong Institutional Support
EL,91.46,1.54,4.12,244.86,10,0,0,Neutral,65,Institutional Support
ELV,91.89,0.17,2.15,221.75,10,0,0,Neutral,70,Strong Institutional Support
EMN,90.94,0.78,5.15,113.09,10,0,0,Neutral,65,Institutional Support
EMR,83.91,0.24,2.46,559.69,10,0,0,Neutral,70,Strong Institutional Support
ENPH,95.31,3.33,32.53,126.76,10,0,0,Neutral,55,Institutional Support
EOG,95.45,0.29,2.65,540.78,10,0,0,Neutral,70,Strong Institutional Support
EPAM,101.36,3.6,6.34,53.34,10,0,0,Neutral,65,Institutional Support
EQIX,98.66,0.27,2.67,97.83,10,0,0,Neutral,70,Strong Institutional Support
EQR,96.42,0.53,2.25,342.51,10,0,0,Neutral,70,Strong Institutional Support
EQT,94.82,0.7,3.93,618.81,10,0,0,Neutral,65,Institutional Support
ES,86.69,0.18,1.69,374.44,10,0,0,Neutral,70,Strong Institutional Support
ESS,103.25,1.17,4.4,63.76,10,0,0,Neutral,65,Institutional Support
ETN,85.98,0.18,1.79,387.27,10,0,0,Neutral,70,Strong Institutional Support
ETR,96.85,0.27,3.18,444.5,10,0,0,Neutral,65,Institutional Support
ETSY,127.17,1.19,25.58,81.3,10,0,0,Neutral,55,Institutional Support
EVRG,95.47,0.16,6.45,229.08,10,0,0,Neutral,65,Institutional Support
EW,90.1,0.92,1.11,574.43,10,0,0,Neutral,70,Strong Institutional Support
EXC,90.43,0.11,5.13,1008.6,10,0,0,Neutral,65,Institutional Support
EXPD,103.42,0.68,4.88,132.95,10,0,0,Neutral,65,Institutional Support
EXPE,103.45,1.16,7.59,115.46,10,0,0,Neutral,65,Institutional Support
EXR,99.16,0.98,3.74,209.96,10,0,0,Neutral,65,Institutional Support
F,65.28,0.26,5.27,3877.0,10,0,0,Neutral,60,Institutional Support
FANG,63.25,35.57,4.92,184.68,10,0,0,Neutral,60,Institutional Support
FAST,88.47,0.19,3.13,1144.47,10,0,0,Neutral,65,Institutional Support
FCX,85.99,0.67,1.96,1427.82,10,0,0,Neutral,70,Strong Institutional Support
FDS,100.63,0.41,5.45,37.29,10,0,0,Neutral,65,Institutional Support
FDX,80.51,7.58,1.68,217.12,10,0,0,Neutral,70,Strong Institutional Support
FE,94.76,0.16,5.76,547.08,10,0,0,Neutral,65,Institutional Support
FFIV,101.05,0.64,8.08,57.48,10,0,0,Neutral,65,Institutional Support
FI,90.43,0.73,1.44,533.64,10,0,0,Neutral,70,Strong Institutional Support
FICO,90.91,2.62,5.95,23.0,10,0,0,Neutral,65,Institutional Support
FIS,99.58,0.13,3.25,516.55,10,0,0,Neutral,65,Institutional Support
FITB,89.16,0.44,9.18,656.95,10,0,0,Neutral,65,Institutional Support
FLT,0.0,0.0,0.0,0.0,0,0,0,Unknown,45,Neutral
FMC,93.31,0.94,12.07,123.91,10,0,0,Neutral,55,Institutional Support
FOX,63.3,37.07,10.59,353.53,10,0,0,Neutral,50,Neutral
FOXA,119.28,1.26,12.76,353.53,10,0,0,Neutral,55,Institutional Support
FRT,98.72,1.04,2.98,77.93,10,0,0,Neutral,70,Strong Institutional Support
FSLR,104.83,5.46,11.66,101.45,10,0,0,Neutral,55,Institutional Support
FTNT,71.32,17.34,3.84,625.94,10,0,0,Neutral,60,Institutional Support
FTV,103.2,0.35,5.23,295.5,10,0,0,Neutral,65,Institutional Support
GD,87.6,0.51,1.04,252.93,10,0,0,Neutral,70,Strong Institutional Support
